Language_ID,Macroarea_Code,Language_Name,Family_name_Code,level_code,Latitude,Longitude,GB030,GB028,GB131,GB042,GB133,GB031,GB092,GB132,GB090,GB065,GB130,GB089,GB091,GB093,GB094,GB044,GB107,GB043,GB084,GB083,GB074,GB080,GB070,GB025,GB082,GB058,GB071,GB052,GB072,GB137,GB021,GB138,GB022,GB051,GB023,GB038,GB024,GB020,GB054,GB035,GB036,GB053,GB057,GB079,GB197,GB196,GB075,GB081,GB039,GB171,GB170,GB037,GB165,GB086,GB166,GB172,GB193,GB108,GB073,GB129,GB111,GB192,GB299,GB198,GB098,GB155,GB103,GB096,GB318,GB095,GB139,GB298,GB059,GB136,GB117,GB319,GB316,GB320,GB317,GB104,GB186,GB114,GB115,GB149,GB321,GB185,GB068,GB121,GB099,GB147,GB313,GB116,GB312,GB309,GB184,GB120,GB158,GB109,GB110,GB119,GB177,GB105,GB433,GB113,GB431,GB069,GB430,GB432,GB315,GB324,GB148,GB314,GB156,GB126,GB151,GB334,GB027,GB262,GB286,GB408,GB026,GB409,GB263,GB264,GB260,GB326,GB134,GB041,GB333,GB410,GB415,GB327,GB285,GB160,GB291,GB152,GB159,GB305,GB521,GB336,GB335,GB520,GB124,GB048,GB047,GB257,GB297,GB122,GB302,GB519,GB135,GB167,GB328,GB118,GB140,GB049,GB203,GB306,GB522,GB303,GB150,GB250,GB400,GB046,GB187,GB323,GB329,GB322,GB254,GB330,GB331,GB146,GB256,GB252,GB253,GB304,GB325,GB188,GB275,GB127,GB276,GB300,GB265,GB123,GB266,GB273,GB270,GB403,GB301,GB402,GB204,GB422,GB421,GB296,GB401
acha1249,2,Longchuan Achang,165,2,24.3479,97.7438,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,1,3,0,0,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,0,1,0,0,1,1,0,1,1,1,,2,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,1,0,,0,0,1,0,0,0,0
acha1250,5,Achagua,8,2,4.38649,-72.2005,1,0,0,0,0,0,1,1,1,1,1,1,0,1,0,1,0,0,1,0,0,1,1,1,0,0,1,0,1,0,0,1,0,1,0,,1,0,0,0,0,1,,0,,,1,0,1,,1,0,,0,,,2,0,1,0,0,,1,,0,1,0,1,0,0,1,0,1,1,0,,,,,0,,1,1,0,,,0,0,0,0,,,,1,,0,1,0,0,1,1,,0,1,0,0,0,0,,,0,,0,1,0,1,1,0,0,,0,,0,0,0,0,1,0,0,,0,1,,0,,1,0,0,,,,,0,1,,1,,0,,,1,,0,1,1,1,,,,,0,,,,,0,0,0,,,,1,,,,,,,,0,,,,0,,,,,,,,,,,
ache1245,0,Acheron,131,2,10.8827,30.3187,0,1,0,1,0,0,1,1,1,2,1,0,0,1,0,1,1,0,0,1,1,0,0,2,1,0,0,1,0,0,0,0,0,0,0,0,2,0,1,0,0,0,,1,0,0,0,0,0,1,1,0,0,1,0,0,2,,0,0,0,0,0,0,0,,,0,0,0,,0,,1,,0,0,0,0,,0,1,,0,1,1,,0,,1,0,,1,0,1,0,,,,0,,1,0,,0,,0,1,1,0,0,,,0,,,,0,0,1,0,0,1,0,0,0,,,,1,0,,0,,0,,,1,0,,,0,,,,0,0,,0,0,,0,,,,,,0,,0,,,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ache1246,5,Aché,189,2,-25.5865,-56.4697,0,1,0,0,1,0,0,1,0,1,1,0,0,0,0,0,1,0,1,1,,1,0,,0,,0,,0,,,,,1,,,,,,0,,,,,0,0,1,,,,,,0,1,0,,2,,0,,,,,,,1,,,0,,1,,,,1,0,0,0,0,,,0,1,,0,,1,1,,1,0,,1,1,,1,1,,0,1,,,0,,0,,0,0,0,,0,0,,,,,,,,,,,,,,,,,,1,0,,,,,1,,1,1,,,0,,1,,,,,0,0,,,,,,,,,1,0,,,,,1,,,,,,,,,,,,0,1,,,1,,,,,,,,,,,,,,
achi1256,3,Achi,120,2,15.073,-90.3513,0,0,0,0,0,0,1,1,1,2,1,1,0,1,1,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,1,0,1,0,1,1,0,0,1,0,,0,1,1,0,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,1,,1,1,0,0,,0,0,0,1,1,1,0,0,0,0,0,1,0,0,0,0,,1,1,0,0,0,0,0,0,0,0,1,0,,1,1,1,0,1,0,0,0,1,0,,,0,0,1,,0,0,0,0,0,1,0,0,,,1,,1,1,0,0,0,0,,0,1,0,0,1,0,0,,0,0,0,0,,,,,,,,,,,,,0,,,,,,
achi1257,4,Acehnese,13,2,3.90757,96.6032,0,1,0,0,0,0,1,1,1,2,1,1,0,0,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0,0,1,0,,1,1,1,0,1,0,0,1,1,0,0,0,1,0,0,1,1,0,,1,1,1,0,0,1,,0,3,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0,0,0
achu1247,3,Achumawi,147,2,41.0979,-121.191,0,1,1,0,0,1,1,0,1,1,,,,,,0,1,0,,,0,1,1,,,,1,0,1,0,1,0,1,0,0,,,0,0,,,0,,1,0,0,0,,0,0,0,,0,1,0,0,1,1,1,0,1,0,,0,,1,1,,0,,,1,,,,0,0,0,0,1,0,1,1,0,0,,,0,,1,,,1,0,0,0,,,,0,,,0,,0,0,0,1,0,0,0,0,0,0,,1,0,1,,1,,0,0,0,,,,,1,1,,,,,,,,0,,0,0,,,1,1,0,,,0,,,,,,,0,,0,1,0,,,,0,0,,,,,,,,,,,,,,1,,0,,0,,0,1,0,,,,,,,,
achu1248,5,Achuar-Shiwiar,30,2,-2.82646,-77.2641,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,0,1,0,1,1,0,1,1,1,0,0,1,0,1,1,0,0,0,0,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,3,1,1,0,0,0,0,0,1,1,1,0,0,0,1,0,1,0,1,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,1,1,0,0,1,0,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,1,1,0,1,1,0,0,0,0,0,0,1,,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,,1,1,3,0,1,0,1,1,0,0,1,,0,,0,0,0,0,0,0,0,0,0,0,0,0,1,0,,0,,,,0,0,0,,,,0,
acol1236,0,Acoli,133,2,3.57738,32.5147,0,0,0,0,0,0,1,1,1,2,2,0,0,1,0,1,0,0,1,1,1,1,0,2,1,0,0,0,0,0,0,0,0,0,0,0,2,0,0,1,0,0,0,1,0,0,0,1,1,0,0,,0,0,0,0,2,0,0,0,1,0,1,0,0,0,1,0,0,0,1,0,1,1,1,0,0,0,0,,0,1,1,0,0,0,1,1,1,0,1,0,1,0,0,0,1,0,0,1,0,1,1,0,0,1,0,1,0,0,0,0,0,1,0,0,1,,,0,0,0,,,,1,1,1,1,1,0,1,,1,,0,0,1,0,0,0,0,0,1,1,,0,0,0,0,1,,0,1,0,0,2,0,0,0,,0,0,0,,0,0,0,1,0,0,0,1,1,0,0,0,,0,0,,0,1,0,0,,1,0,0,0,0,0,1,0,1
adan1251,4,Adang,183,2,-8.18958,124.448,0,1,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,0,0,1,0,2,0,0,1,0,0,1,0,0,0,0,1,0,2,1,0,1,1,0,1,1,0,0,0,0,0,0,0,1,0,1,0,0,2,1,0,0,0,0,1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,,,1,0,0,0,1,1,0,0,1,0,,2,0,0,0,0,0,0,0,,0,0,1,1,1,0,1,0,0,0,0,0,,0,,1,0,0,0,0,0,0,,0,,1,,,,0
adny1235,1,Adnyamathanha,148,2,-30.1451,138.671,0,0,,0,,,0,,0,,1,1,1,1,0,1,0,1,1,1,1,1,1,1,1,0,,0,1,0,0,1,0,0,0,0,,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,1,1,,0,0,0,1,0,0,,,0,0,0,1,0,,,0,0,0,0,0,,0,1,1,,0,0,0,0,0,,1,0,1,1,0,0,1,0,0,0,0,1,0,1,1,,0,0,0,0,,0,,0,,,,,,0,0,1,,,,0,,0,,0,0,1,,1,,,1,1,0,,,0,0,,,,,0,,0,,,0,0,0,,1,1,0,,,,0,0,,0,0,0,,0,0,,,,,,,,1,1,,0,,,,,,0,,0,0,,,,
adon1237,4,Adonara,13,2,-8.32027,123.159,0,1,0,0,0,0,1,1,1,1,1,1,0,1,0,0,0,0,0,0,1,0,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,1,0,0,,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,,,0,0,1,0,0,0,0,0,1,0,0,1,,0,1,1,0,1,0,1,0,0,1,0,0,0,0,1,0,1,1,1,0,0,,0,,,0,1,0,1,,0,1,,,,0,0,,,0,,,0,0,0,,,,,,,1,0,1,,0,,0,1,0,,0,,,,,,
adze1240,4,Adzera,13,2,-6.39394,146.294,0,1,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,1,0,1,1,0,2,0,0,0,,0,1,0,0,0,,0,0,2,0,,0,0,,0,1,0,0,0,0,0,,,1,0,1,0,0,2,0,0,0,0,,1,,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,,0,,0,0,0,0,,1,0,0,0,1,0,0,0,,0,1,0,0,,0,0,,0,0,,,,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,1,0,1,0,1,0,1,,0,1,0,0,1,,0,1,1,0,,0,1,1,,0,1,0,,2,1,1,0,0,0,0,1,,,0,,0,0,0,0,0,0,0,0,0,,,,,0,,,,,,1,1,0,,0,0,,
aeky1238,4,Aekyom,86,2,-5.88478,141.532,0,0,0,0,1,1,0,0,0,1,1,0,0,0,0,0,1,0,1,1,0,1,1,2,1,0,1,0,,1,0,0,0,0,0,0,,0,0,0,0,0,,1,0,0,1,1,0,0,0,0,0,1,0,0,2,,,0,0,0,0,,,,,,1,,1,0,1,1,1,0,1,0,1,,0,,,,0,0,0,0,0,,1,0,1,1,0,0,1,1,0,,,,,,,0,,,0,0,,0,,,1,0,,0,1,0,0,1,0,0,0,1,,0,0,0,0,,0,,0,1,,,0,1,0,0,0,,,0,0,,,1,,,,,,1,,,,,1,,0,0,,,,,,,,,,,,,,,,,,,,,,,,,0,,,1,1,,
afad1236,0,Afade,1,2,12.0551,14.6343,0,0,0,0,0,0,1,1,1,3,1,0,0,,,1,1,0,,,,1,,,1,,0,0,,0,,0,,1,,,2,,,,,0,0,0,0,0,,0,,,1,,,1,,1,1,1,0,,,0,0,,,,,,0,,,0,0,,,0,0,0,0,,,,,,,,1,,1,,0,0,,,,,0,,,,,,1,,0,1,0,0,,0,,,,0,,0,,,,,,,,,,,,,1,,,,,,,,,,,0,0,,,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
afar1241,0,Afar,1,2,12.2281,41.8083,1,0,0,0,1,0,1,0,1,3,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,1,1,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,1,0,0,1,1,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,,0,0,1,0,0,1,0,0,1,0,0,1,0,0,1,1,0,0,0,,1,1,1,1,0,0,0,0,0,1,1,0,0,,0,0,1,0,1,1,0,0,3,1,1,0,,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,,0,0,1,0,0,,0,,0,0,0,0,0
aghe1239,0,Aghem,11,2,6.38956,10.0807,0,1,0,1,0,0,0,1,0,3,1,0,0,0,0,1,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0,0,0,0,0,2,0,1,1,0,1,0,1,0,0,0,0,1,1,1,0,0,1,0,0,2,0,0,0,1,1,0,1,0,1,0,0,0,0,1,1,0,,1,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,1,0,0,1,0,0,1,1,0,1,1,0,1,0,0,0,0,0,1,1,0,0,1,0,0,,,0,0,,1,1,1,0,0,0,0,,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,,,0,,0,,0,,0,,,,0,0,0,,0,1,,0
aghu1254,1,Aghu Tharnggalu,148,2,-13.735,142.426,0,0,1,0,0,,,0,,2,,,,,,,,,1,0,0,,,,1,0,,0,,,0,,,,,,2,,,,,,0,,,,,,,,0,,,0,,,2,,,,0,,1,,,1,0,,0,,0,0,,0,0,,,,,0,,,,,,,0,0,,0,,,,0,,0,,0,0,0,,,0,,0,,0,0,,,0,,,,0,0,1,0,0,,,1,0,0,0,0,,,0,,0,,,,,1,,0,0,,,0,0,,1,1,,0,,,,,0,0,,,,,,,0,,,,,0,0,0,,,,,,,,,,,,,,,,0,,,,,,,,,,,
aghu1255,4,Aghu,141,2,-6.34674,140.043,0,0,0,0,1,0,0,0,0,1,1,1,1,0,0,0,1,0,1,1,0,1,0,2,0,0,0,0,0,1,0,0,0,0,0,0,2,0,0,1,1,0,0,0,0,0,1,,1,0,1,0,0,1,0,0,2,0,0,0,1,0,1,0,0,,1,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,,1,0,1,1,0,,1,1,0,0,1,1,0,1,1,0,0,0,0,0,,0,,,1,1,1,0,0,1,1,0,1,0,0,1,1,0,0,1,0,0,0,0,0,0,0,0,0,1,1,1,0,1,1,0,0,1,,0,,0,0,1,1,1,,1,1,,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,,0,0,,1,,0,,,,,,0,,0,0,0,0,0,0
aghw1237,2,Aghwan,129,2,40.374444,47.126667,1,0,0,0,0,0,0,1,0,3,1,1,1,1,0,1,1,0,0,1,0,1,1,1,1,0,1,0,1,0,,1,1,1,0,0,1,1,0,0,0,0,0,1,0,0,1,1,1,1,0,0,0,1,0,1,1,1,1,0,,0,1,0,0,,0,0,0,0,1,0,0,,1,0,0,0,0,0,1,0,0,0,0,1,0,,,0,,0,1,,0,,0,,1,,0,1,,,,0,,,0,0,0,0,1,1,0,0,1,,,,,,,,,,,0,1,,,1,,1,,,0,1,,0,1,,0,1,1,,,1,0,,,0,0,0,1,0,1,1,,0,0,1,,,0,0,0,0,1,0,0,,0,1,0,0,1,0,0,,1,,0,1,1,0,0,,0,,0,,,0,
agob1244,4,Agob-Ende-Kawam,146,2,-9.08521,142.532,0,1,0,0,1,0,0,0,0,1,1,1,1,1,1,0,0,0,1,1,0,1,1,3,1,0,1,0,1,0,0,1,0,0,0,0,3,0,0,1,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,3,1,1,0,1,0,1,0,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,1,1,0,1,1,1,0,1,1,1,0,0,1,1,1,0,0,0,1,0,1,0,0,0,1,0,0,1,0,0,1,1,0,0,1,0,1,1,0,0,1,0,1,0,1,0,0,1,1,1,1,0,0,1,1,1,,0,1,0,1,0,0,1,0,1,0,3,1,1,0,0,0,1,0,0,0,1,0,0,0,1,1,1,0,0,0,1,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0
agua1253,5,Aguaruna,30,2,-5.30044,-77.9218,0,0,0,0,1,0,0,0,0,1,1,1,1,1,0,1,1,0,1,1,0,1,1,1,0,0,1,0,1,1,1,0,1,0,,0,3,,0,1,0,,0,0,0,0,,0,0,0,0,1,0,1,0,0,2,,1,0,0,0,0,0,0,1,1,0,0,0,1,0,,0,1,0,0,0,0,,0,1,1,0,0,0,1,1,0,,0,0,1,1,0,1,1,0,0,1,0,1,1,1,0,0,0,0,0,0,,0,0,1,1,1,1,0,1,1,0,0,0,0,0,0,1,,0,0,0,1,0,1,0,0,1,,0,0,0,0,0,1,1,0,0,,,0,1,0,0,,0,1,1,0,0,,1,1,1,,1,0,0,0,,0,0,0,,,,,0,0,0,,0,0,1,,0,0,0,0,,0,0,0,0,,0
agus1235,4,Agusan Manobo,13,2,8.62731,125.742,0,0,1,0,0,0,0,0,0,2,2,1,1,0,0,0,0,0,1,0,1,1,0,1,0,0,1,0,0,0,,1,,0,0,0,,,0,0,0,0,,1,0,0,0,,0,0,0,0,0,0,0,1,3,,1,,0,0,0,0,0,,,1,0,0,,1,0,,0,0,,0,0,,,,,0,0,,0,0,,1,0,0,1,0,,,,0,0,,0,,1,,0,1,0,0,0,0,0,0,,1,,,,,,1,,1,,,,,,,,0,0,,,,0,,,,0,,,,0,,,,,0,0,,,,,,0,,,,1,,,,0,,,0,,0,,,,,,,,1,,,,,,,,,,,,,,,,,,,
